# window	hash	date	THEME	subject
# Replace each 'TODO' in the THEME column with a theme key from lineage.themes[].key (in data.js). The script tallies lineage.buckets[].counts from this column on the next orchestrate run; do not hand-edit the counts.
0	c426015	2026-05-19	TODO	Scaffold the Performance Profiler tModLoader mod
0	23cbe99	2026-05-19	TODO	Fix tModLoader log path in README and CLAUDE.md
0	70b4730	2026-05-19	TODO	Milestone 0: fix hello-world hook + add agent-readable logging
0	24ddb50	2026-05-19	TODO	Rewrite README as a visual directional document; add MIT LICENSE
0	678c95c	2026-05-19	TODO	Add context/ — tModLoader integration reconnaissance
0	fa58121	2026-05-19	TODO	Add the per-tick data model and ring buffer
0	3e662b9	2026-05-19	TODO	Add the Metric Collector engine and its tModLoader wiring
0	cf05d4b	2026-05-19	TODO	Add the F9 profiler overlay — Milestone 1 UI
0	bc654d7	2026-05-19	TODO	Drop Milestone 0 from the README
0	b1acec8	2026-05-19	TODO	Add #nullable enable to every source file
0	0596a20	2026-05-19	TODO	M2 task 1: add the visual foundation (ProfilerTheme)
0	d0478be	2026-05-19	TODO	M2 task 2: overhaul the overlay panel to the modern look
0	afccffc	2026-05-19	TODO	M2 task 8: make the overlay draggable
0	20a8094	2026-05-19	TODO	M2 task 3: per-mod CPU attribution (first cut)
0	e4bba47	2026-05-19	TODO	M2 task 4: the btop-style per-mod cost list
0	3d67d91	2026-05-19	TODO	M2 task 4: make the per-mod tree foldable
0	874bbd0	2026-05-19	TODO	session wrap: Milestone 1 + 2 build, repo published
0	ba883e5	2026-05-19	TODO	M2: make hook coverage explicit
0	2777629	2026-05-19	TODO	M2: add stable overlay inspection controls
0	0088aef	2026-05-19	TODO	M2: export aggregated session reports
0	9fb8641	2026-05-19	TODO	Add project collaborator brief
0	70a49bf	2026-05-19	TODO	Expand hook coverage to 8 new signature families
0	660728c	2026-05-19	TODO	UI: hide zero-cost category rows in expanded mod view
0	17ba7cf	2026-05-19	TODO	Coverage: track unsupported signature shape frequency in session JSON
0	64237a3	2026-05-19	TODO	Coverage: add top-10 hook families + fix session identity / pruning
0	adfcf24	2026-05-19	TODO	UI polish: scrollable list, toggleable categories, hover highlights, tighter layout
0	195452d	2026-05-19	TODO	Add ILHook migration plan with parallel coexistence architecture
0	3eccf89	2026-05-19	TODO	Add research-backed ILHook migration plan (evidence-grounded)
0	d2da531	2026-05-19	TODO	ILHook backend: dynamic, signature-agnostic instrumentation alongside delegate path
0	83dfa49	2026-05-19	TODO	PROFILER HEALTH now reflects active backend's coverage
0	b52f8b6	2026-05-19	TODO	ILHook as default backend; sort categories by ms within each mod
0	7da4058	2026-05-19	TODO	Hook closed-generic instantiations to cover mods built on generic bases
0	5725572	2026-05-19	TODO	Fix world-load crash from hooking tModLoader-internal closed generics
0	a1b7453	2026-05-20	TODO	Add events-tab implementation plan (Opus research, 1003 lines)
0	291d177	2026-05-20	TODO	Add spikes + allocations implementation plan (Opus research, 1246 lines)
0	4b8b6f8	2026-05-20	TODO	Add aggregated overview tab plan (Opus research, 991 lines)
0	08dd5eb	2026-05-20	TODO	Spikes batch (a): raw per-tick ring, median spike detector, SPIKES tab
0	66b32f3	2026-05-20	TODO	Add insights engine plan (Opus research, 1413 lines)
0	45baf02	2026-05-20	TODO	Fix spike attribution: ring buffer was comparing two unrelated counters
0	f32d33d	2026-05-20	TODO	Spikes batch (b): per-mod allocation tracking + MEM/BOTH overlay view
0	037f8d5	2026-05-20	TODO	Refactor overlay into UI/Overlay/ with a plug-and-play tab registry
0	e9cfea1	2026-05-20	TODO	Add LiteDB migration plan (Opus research, 1591 lines)
0	693847f	2026-05-20	TODO	Overview tab: ModImpactScorer composite-impact engine
0	a376f6a	2026-05-20	TODO	Overview tab: leaderboard UI + register as default landing tab
0	18d19de	2026-05-20	TODO	Events tab (a): context capture + aggregator
0	e6a1020	2026-05-20	TODO	Insights Engine: in-session detector catalog, store, renderer, tab
0	1062694	2026-05-20	TODO	Events tab (b): tab body + registry registration
0	bb95091	2026-05-20	TODO	Merge Agent A (Events tab) into main
0	6537950	2026-05-20	TODO	Audit fixes for the three merged tabs: throttle Tick to 1 Hz, kill hot-path allocations, add drill-into-TREE
0	77a99d2	2026-05-20	TODO	CHA round 1: dead-code, shared category router, backend-aware coverage, persistence hardening
0	aa914ce	2026-05-20	TODO	CHA round 2: insights honesty, dual-surface JSON, IsAvailable contract, truncation caching
0	14fac59	2026-05-20	TODO	CHA round 3: non-shipping test harness + implementation receipt
0	8d19612	2026-05-20	TODO	context: reorganise into integration/ tmodloader/ systems/; refresh entry-point docs
0	14f0a3f	2026-05-20	TODO	context: fill systems/ with ten subsystem deep-dives, expand tmodloader/ with "how we plug in" sections
0	cdbe762	2026-05-20	TODO	Baseline service + pure-relative spike threshold
0	b13218e	2026-05-20	TODO	context: note cdbe762's BaselineTests.cs in test-harness.md
0	52a3b85	2026-05-20	TODO	ProfilerSelfHealth: honest self-footprint measurement
0	503041b	2026-05-20	TODO	StallDetector: relative trigger, perceptual badge, cause classification
0	cfd02a5	2026-05-20	TODO	SessionLogWriter schema v5: stalls + baseline + selfHealth blocks
0	e6935ed	2026-05-20	TODO	PROFILER HEALTH strip: self-footprint line
0	0e5ddde	2026-05-20	TODO	SPIKES tab: unified lag-events feed with spike + stall rows
0	5b28e41	2026-05-20	TODO	Move per-mod accumulator clear from BeginTick to post-harvest EndTick
0	4e2032d	2026-05-20	TODO	Un-gate GcPauseCulpritDetector with real attribution
0	6c45f34	2026-05-20	TODO	ProfilerSelfHealth: fix cadence-guard signed-overflow on first refresh
0	075cb0c	2026-05-20	TODO	context: UI overhaul plan (draft, awaiting review)
0	c959bb1	2026-05-20	TODO	context: revise SUMMARY tab spec to be properly multi-dimensional
0	af6e3b4	2026-05-20	TODO	UI Phase 0: layout constants + theme palette additions + 5-stop heat ramp
0	4d7f67a	2026-05-20	TODO	UI Phase 0 follow-up: default mode is the bigger one; compact is the HUD
0	6144886	2026-05-20	TODO	UI Phase 1: component library (cards, bars, charts, badges)
0	99bcd74	2026-05-20	TODO	UI Phases 2-3: chrome rewrite + multi-dimensional SUMMARY tab
0	946af50	2026-05-20	TODO	UI Phases 4-7: LAG timeline, INSIGHTS cards, SELF tab, ModConfig, resize
0	43912ca	2026-05-20	TODO	Fix: replace donut rotated-wedge rendering with safe stacked horizontal bar
0	e82615d	2026-05-20	TODO	Replace stacked share bar with three-axis city skyline visualisation
0	7584cc5	2026-05-20	TODO	DonutChart: proper triangle-based donut + extract skyline as own component
0	a96be18	2026-05-20	TODO	Fix overlap bugs: stale chrome offsets, packed health card, duplicate ranking
0	ad3dc7b	2026-05-20	TODO	v0.2: session-wrap bump + CLAUDE.md versioning discipline
0	15cb50a	2026-05-20	TODO	session wrap: append UI-overhaul-era decisions to context/notes/decisions.md
